date,area,district,mail_type,pct_on_time,area_average,nat_average
2020-05-30,Capital Metro,Atlanta,periodical,72.59,75.4725,76.74104477611941
2020-06-06,Capital Metro,Atlanta,first class,91.02,89.2925,90.2844776119403
2020-06-06,Capital Metro,Atlanta,marketing,76.43,85.8525,89.28955223880597
2020-06-06,Capital Metro,Atlanta,periodical,72.63,76.02,76.22820895522388
2020-06-13,Capital Metro,Atlanta,first class,91.69,90.15125,91.25044776119402
2020-06-13,Capital Metro,Atlanta,marketing,81.79,89.3275,90.66611940298507
2020-06-13,Capital Metro,Atlanta,periodical,76.83,78.81875,78.9720895522388
2020-06-20,Capital Metro,Atlanta,first class,91.61,89.9725,90.33910447761194
2020-06-20,Capital Metro,Atlanta,marketing,83.74,89.12125,90.69313432835821
2020-06-20,Capital Metro,Atlanta,periodical,85.04,80.215,77.99194029850746
2020-06-27,Capital Metro,Atlanta,first class,91.49,90.46,90.34238805970149
2020-06-27,Capital Metro,Atlanta,marketing,88.79,92.8325,91.24179104477612
2020-06-27,Capital Metro,Atlanta,periodical,83.37,81.66250000000001,80.67895522388059
2020-07-01,Capital Metro,Atlanta,first class,91.77,91.5675,91.40492537313433
2020-07-01,Capital Metro,Atlanta,marketing,77.58,88.8725,89.99686567164179
2020-07-01,Capital Metro,Atlanta,periodical,65.41,79.55,78.68358208955223
2020-07-04,Capital Metro,Atlanta,first class,90.71,89.94624999999999,90.30477611940299
2020-07-04,Capital Metro,Atlanta,marketing,80.35,87.7175,87.91850746268656
2020-07-04,Capital Metro,Atlanta,periodical,70,74.16375,76.04597014925373
2020-07-11,Capital Metro,Atlanta,first class,87.14,86.68125,85.64
2020-07-11,Capital Metro,Atlanta,marketing,76.45,82.25375,83.49074626865672
2020-07-11,Capital Metro,Atlanta,periodical,65.86,69.75375,73.44537313432836
2020-07-18,Capital Metro,Atlanta,first class,85.51,82.73875,82.65940298507462
2020-07-18,Capital Metro,Atlanta,marketing,72.51,79.16624999999999,81.20328358208955
2020-07-18,Capital Metro,Atlanta,periodical,55.21,67.32125,71.2423880597015
2020-07-25,Capital Metro,Atlanta,first class,87.14,82.48875,83.4613432835821
2020-07-25,Capital Metro,Atlanta,marketing,79.36,79.95625,83.07761194029851
2020-07-25,Capital Metro,Atlanta,periodical,73.2,65.71125,67.87805970149253
2020-08-01,Capital Metro,Atlanta,first class,86.59,81.52250000000001,82.64
2020-08-01,Capital Metro,Atlanta,marketing,72.52,77.71625,80.8176119402985
2020-08-01,Capital Metro,Atlanta,periodical,71.29,67.0325,68.53910447761194
2020-08-08,Capital Metro,Atlanta,first class,83.99,78.73375,81.42850746268657
2020-08-08,Capital Metro,Atlanta,marketing,77.99,77.645,82.4720895522388
2020-08-08,Capital Metro,Atlanta,periodical,68.78,66.57875,68.86507462686568
2020-08-15,Capital Metro,Atlanta,first class,84.97,82.0125,85.14671641791045
2020-08-15,Capital Metro,Atlanta,marketing,72.34,80.2125,86.32208955223881
2020-08-15,Capital Metro,Atlanta,periodical,66.85,67.40375,72.42880597014926
